label,candidate,r_cert,eps_real,eps_over_rcert,worst_sinr_mean,worst_sinr_p5,worst_sinr_min,worst_sinr_deterministic,violation_rate
max-WEE,29,0.12026367187499998,0.0,0.0,18.199999999999992,18.199999999999992,18.199999999999992,18.195557592821284,0.0
max-WEE,29,0.12026367187499998,0.015032958984374997,0.125,17.78183164259204,17.530126894761242,17.378108519991255,17.29977629599316,0.0
max-WEE,29,0.12026367187499998,0.030065917968749994,0.25,17.143209799162754,16.57755323362838,16.318703813249076,13.809961660433588,0.0
max-WEE,29,0.12026367187499998,0.04509887695312499,0.375,16.228152497681258,15.149495557734369,14.49060712662143,10.105532755842281,0.0
max-WEE,29,0.12026367187499998,0.06013183593749999,0.5,15.10394109946886,13.750814319339373,11.690739106499205,7.222236706676755,0.0
max-WEE,29,0.12026367187499998,0.07516479492187499,0.625,13.845009148132243,11.991409690655807,11.069899672295877,5.160073512937011,0.0
max-WEE,29,0.12026367187499998,0.09019775390624998,0.75,12.596156288331889,10.362049623796308,9.262998933226571,3.72075825214807,0.0
max-WEE,29,0.12026367187499998,0.10523071289062498,0.875,11.410493532838148,9.244171688437888,6.710621232345826,2.7130042932164296,0.0
max-WEE,29,0.12026367187499998,0.12026367187499998,1.0,10.25167019510094,8.061677179026479,6.794548106879162,2.001511336100341,0.0
max-WEE,29,0.12026367187499998,0.135296630859375,1.1250000000000002,9.376740752598971,6.884687399788718,5.7670295170592825,1.488303301459228,0.0
max-WEE,29,0.12026367187499998,0.15032958984374997,1.25,8.30430133408985,5.89986782703684,4.597478407322916,1.1133115216021419,0.0
max-WEE,29,0.12026367187499998,0.16536254882812496,1.3749999999999998,7.508602814746719,5.5024542926320965,4.200171457215702,0.8345462482402646,0.0
max-WEE,29,0.12026367187499998,0.18039550781249997,1.5,6.810984458708314,4.708088789190334,3.043761458636043,0.6251806977446288,0.0
max-WEE,29,0.12026367187499998,0.19542846679687498,1.6250000000000002,6.085481630100897,4.336580266783792,3.056378218120935,0.46596956881619256,0.0
max-WEE,29,0.12026367187499998,0.21046142578124996,1.75,5.407891306073217,3.613474372308536,2.730304033003583,0.3440826605889281,0.0
