index,bits,direction,align_frac,design_gamma,design_eps,wee,r_cert,nondominated,min_sinr_nominal,power_per_bs_w
0,1,zf_full,0.5,3.0,0.0,0.14257995595065845,0.044677734375,False,3.899999999999998,0.6888160097976934
1,2,zf_full,0.5,3.0,0.05,0.20663565552718066,0.11843261718749999,False,10.115674326422042,1.473200657551816
2,1,zf_full,0.25,2.0,0.0,0.13802159307987838,0.037207031249999994,False,3.5999999999999988,0.6548815965539737
3,2,zf_full,0.0,2.0,0.05,0.17771368645513413,0.097998046875,False,4.587561933889497,0.9699004676166751
4,3,zf_full,0.75,3.0,0.0,0.15895359903594547,0.056835937499999996,False,5.399999999999998,0.9713318016009759
5,3,zf_full,0.25,2.0,0.0,0.14266586341075385,0.0410888671875,False,3.5999999999999965,0.44995797450582464
6,1,zf_full,0.25,4.0,0.0,0.18536389867698283,0.0673095703125,False,7.1999999999999975,0.8012546475065279
7,2,zf_full,0.5,6.0,0.0,0.17374932722372938,0.0692138671875,False,5.999999999999997,0.7240903662015626
8,2,zf_full,0.0,2.0,0.0,0.1246184930787754,0.0325927734375,False,2.5999999999999988,0.226949261407719
9,2,zf_full,0.75,6.0,0.0,0.20176826000130058,0.09931640625,False,10.8,1.287268053972318
10,2,zf_full,1.0,6.0,0.0,0.17803265406297136,0.064306640625,False,7.799999999999997,1.2810527015803959
11,2,zf_full,0.75,6.0,0.0,0.17093611074347534,0.0734619140625,False,5.999999999999997,0.8190582264890426
12,3,zf_full,0.75,4.0,0.05,0.21124766974394196,0.12846679687499998,True,7.120286726737438,1.5789697719596663
13,1,zf_full,1.0,2.0,0.0,0.10455145259174614,0.0010986328125,False,1.9999999999999996,0.3388236287097093
14,1,zf_full,0.25,4.0,0.0,0.15719896486627638,0.053686523437499994,False,5.199999999999998,0.9442312244148843
15,3,zf_full,0.25,6.0,0.0,0.20394999523834534,0.06943359375,False,10.799999999999994,1.2109705432247773
16,3,zf_full,0.25,2.0,0.0,0.13936095317505418,0.0416015625,False,3.5999999999999996,0.5829459664258383
17,1,zf_full,0.25,4.0,0.0,0.1641097048913215,0.064306640625,False,5.199999999999997,0.6671608640611417
18,3,zf_full,0.0,3.0,0.0,0.14844533023492762,0.06291503906249998,False,3.9,0.44585167090767847
19,1,zf_full,0.0,3.0,0.0,0.14866048791596254,0.06599121093749999,False,3.8999999999999972,0.4419171072861095
20,1,zf_full,0.25,2.0,0.0,0.14160654239464351,0.0520751953125,False,3.5999999999999996,0.5044664854656733
21,3,zf_full,0.25,2.0,0.05,0.19033807949386078,0.1053955078125,False,5.372987578555037,0.6478799900599003
22,3,zf_full,1.0,6.0,0.0,0.1827968799989498,0.088037109375,False,7.8,1.1004340072578112
23,2,zf_full,0.25,2.0,0.0,0.10475389716645572,0.001318359375,False,1.9999999999999996,0.3276907245418964
24,3,zf_full,0.25,4.0,0.0,0.14932983861913857,0.0650390625,False,3.999999999999999,0.48981601550083886
25,3,zf_full,0.25,6.0,0.0,0.17200657620373805,0.0908203125,False,5.999999999999997,0.7756586301205965
26,3,zf_full,1.0,6.0,0.0,0.19466677948659278,0.096533203125,False,10.799999999999997,1.5288666704901843
27,1,zf_full,0.0,3.0,0.05,0.2019348444671677,0.1090576171875,False,5.938052283864393,1.3430221795493023
28,3,zf_full,0.5,3.0,0.0,0.14762239359551646,0.05361328124999999,False,3.9,0.47553021184723054
29,2,zf_full,0.0,14.0,0.0,0.22836006674033343,0.12026367187499998,True,18.199999999999992,1.6826544437319613
30,3,zf_full,1.0,4.0,0.0,0.17909050800228488,0.08598632812500001,False,7.1999999999999975,1.0192444469934563
31,3,zf_full,0.5,6.0,0.0,0.17297047935016371,0.08056640625,False,5.999999999999997,0.7426167566127644
32,2,zf_full,0.25,3.0,0.05,0.19246784363810662,0.11608886718749999,False,7.200643059773454,1.3093012981569387
33,3,zf_full,0.5,2.0,0.05,0.17635319262366098,0.07873535156249999,False,3.8412551071764818,0.8626177064818459
34,3,zf_full,0.5,3.0,0.0,0.12817003075337371,0.03544921875,False,3.0,0.510823294406483
35,2,zf_full,0.75,6.0,0.0,0.18306806307870374,0.07727050781249999,False,7.799999999999997,1.0907724075088336
36,1,zf_full,0.0,2.0,0.05,0.195069666998447,0.10129394531249998,False,5.471738316443278,0.5746229786587851
37,3,zf_full,0.25,6.0,0.0,0.21243582371720962,0.09990234375,False,10.799999999999997,0.9444397268907199
38,2,zf_full,0.5,6.0,0.0,0.18850222801441557,0.08818359375,False,7.799999999999997,0.8999860325319811
39,2,zf_full,1.0,4.0,0.0,0.17023576357703643,0.06467285156249998,False,7.199999999999997,1.3588348507179946
